sep=;
Change-Id=I51805a458aaaf390cd5b7dc8704545612efb9593; subject=ovs-kmod-ctl: Load kernel module psample; feature=bp_2_15; upstream_status=in_progress; general=;
Change-Id=I97bec186d8d38e7e62c2558434ebbb364f28eaf0; subject=dpif-netlink: Create psample netlink socket; feature=bp_2_15; upstream_status=in_progress; general=;
Change-Id=Ib7d74e62860a00e68fcbbb7df3757df90193487a; subject=netdev-offload: Introduce sFlow attributes query by group ID API; feature=bp_2_15; upstream_status=in_progress; general=;
Change-Id=Ib47adebe29f7777cdbd3582042c7722c1ca22556; subject=dpif: Introduce psample offload API; feature=bp_2_15; upstream_status=in_progress; general=;
Change-Id=Ia09d3542cae4d3238e993bf1dab88faea45566b9; subject=dpif-netlink: Implement psample offload API; feature=bp_2_15; upstream_status=in_progress; general=;
Change-Id=I75bea07b07e441c673f14e9286037efebeb02712; subject=ofproto: Add psample receive handler; feature=bp_2_15; upstream_status=in_progress; general=;
Change-Id=I980083bc5eb176d79b31895a605245fa49d9eee9; subject=netdev-offload-tc: Introduce group ID management API; feature=bp_2_15; upstream_status=in_progress; general=;
Change-Id=Id3c1fa4a1f3595ab5f4088b304e0ee4475bdbe39; subject=netdev-offload-tc: Add offload support for sFlow; feature=bp_2_15; upstream_status=in_progress; general=;
Change-Id=I97ec021aac116dfc1d25f720ba2ef21b4c0958f1; subject=metadata: Update MD; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=I7b925445b86d905aea908fcdc91ca81c99ba5e57; subject=compat: Add psample and tc sample action defines for older kernels; feature=bp_2_15; upstream_status=in_progress; general=;
Change-Id=Ie59440f47257e94a00329df9ece4b280c39e486b; subject=metadata: Update MD; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=I94904e3d98079aeadf9e5334c3448fc2ecd48959; subject=dpif: Introduce register sFlow upcall callback API; feature=sflow; upstream_status=in_progress; general=;
Change-Id=Ic4ee60befedbfe4534a954172ee9fbb67c55a53d; subject=ofproto: Add upcall callback to process sFlow packet; feature=sflow; upstream_status=in_progress; general=;
Change-Id=I09a6ed4f6405042d72939eae63cf77ed1799b6a2; subject=netdev-offload: Introduce register sFlow upcall callback API; feature=sflow; upstream_status=in_progress; general=;
Change-Id=Ibbdac14c9d5183f5f42dcd6cef91aa54c08bc489; subject=netdev-offload-tc: Implement register sFlow upcall callback API; feature=sflow; upstream_status=in_progress; general=;
Change-Id=Icda79b70133386a88cf4057d3604767de49fd781; subject=dpif-netlink: Implement register sFlow upcall callback API; feature=sflow; upstream_status=in_progress; general=;
Change-Id=I403dacc02f9475a09c029559ebc65742d5cc9956; subject=netdev-offload-tc: Introduce group ID management API; feature=sflow; upstream_status=in_progress; general=;
Change-Id=Ida663e3c1dca8fcdf022088020b9cd3ce9e928d0; subject=netdev-offload-tc: Create psample netlink socket; feature=sflow; upstream_status=in_progress; general=;
Change-Id=I1b9649d5dd53950ac9c06aaf5565b7bdb0571739; subject=netdev-offload-tc: Add psample receive handler; feature=sflow; upstream_status=in_progress; general=;
Change-Id=Idcd2a3d58d4d80bfe1a1c0bf29744cc64f5aa0bd; subject=netdev-offload-tc: Add offload support for sFlow; feature=sflow; upstream_status=in_progress; general=;
Change-Id=I67822667494230bdc1d1f4b2217d019a65486ad3; subject=compat: Add psample and tc sample action defines for older kernels; feature=sflow; upstream_status=in_progress; general=;
Change-Id=I880b8b2aebbf6886fd8064409108ee59974ff195; subject=dpif-offload-provider: Introduce dpif-offload-provider layer; feature=sflow; upstream_status=in_progress; general=;
Change-Id=Ibb000960434ee428b66719dd90d14facba3cf5f6; subject=netdev-offload-tc: Introduce group ID management API; feature=sflow; upstream_status=in_progress; general=;
Change-Id=I950c3cc3c7092c3d87602da8928ad4aa2df4f38a; subject=dpif-offload-netlink: Implement dpif-offload-provider API; feature=sflow; upstream_status=in_progress; general=;
Change-Id=I40e0add3bff69751d8f957e5eeff58c665dd5d45; subject=ofproto: Introduce API to process sFlow offload packet; feature=sflow; upstream_status=in_progress; general=;
Change-Id=Ic73cb614a51fee1cb3f6e606c6fccaf3de70c437; subject=netdev-offload-tc: Add offload support for sFlow; feature=sflow; upstream_status=in_progress; general=;
Change-Id=Iab54cbdd18fea3cc99d707cdbde103ecd9a17341; subject=system-offloads-traffic.at: Add sFlow offload test cases; feature=sflow; upstream_status=in_progress; general=;
