sep=;
Change-Id=Ic57059f327d14ad152e8298405ecf0cc583d806f; subject=netdev-offload-dpdk: Change log rate limit numbers; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=I1201f2375664f2bfd71431dd50039157917edd5c; subject=netdev-offload-dpdk: Introduce map APIs for table id and miss context; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=Ieed1bf9f01188fdd67dedf8f072126742fff4d39; subject=netdev-offload-dpdk: Implement HW miss packet recover for vport; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=Ifb8c866ad642fc60b11676f77ad3e1bb9b888a41; subject=netdev-offload-dpdk: Refactor disassociate ufid function; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=I7e2acba16a0b18721c7602837ba89ece4e4b4528; subject=netdev-offload-dpdk: Support tunnel pop action; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=I5a37f2ace552b1f7c546defe275e074f9e0a6a6f; subject=netdev-offload-dpdk: Implement flow dump create/destroy APIs; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=I8a1965a885bd831aa5e8ab9355fe987f65fa2327; subject=netdev-dpdk: Getter function for dpdk devargs API; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=Ib553220ea6114e4f4b9284e695488037b60db970; subject=netdev-dpdk: Introduce get netdev by devargs function; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=I9bb8c0dd4cfd4fbbe5bafa9233468ccb3d88810d; subject=netdev-dpdk-offload: Add vxlan pattern matching function; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=If8166f3f7e0f93d206018a8489d5100658758955; subject=netdev-offload-dpdk: Introduce actions variables; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=I2ab0e69f5d5bb024cbc50aab9ea6c178baa08531; subject=netdev-offload-dpdk: Refactor rte_flow create function; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=I86e5669d177256ebf5652b35052c321d8a424a32; subject=netdev-offload-dpdk: Introduce register fields infrastructure; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=If50da40cb70895d2b1245c0ef0c02610bc7c35d0; subject=netdev-offload-dpdk: Introduce tunnel mapping; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=I1f08537b6b0baea5a8d21b70602962d8f2744e66; subject=netdev-offload-dpdk: Support offload of recirc action and match; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=I7454c9e6b58bdf0e31a0db59fef2192ac46ea57d; subject=netdev-offload-dpdk: Introduce associating a known ID for a given data; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=Idf1dd549954e5a9b7ac37e5c8b9513c0600a4485; subject=netdev-offload-dpdk: Support matches of CT properties; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=I3298f500b1fa6ddf54d5fc4dfa8ac3ee60b9e5e3; subject=netdev-offload-dpdk: Introduce CT context mapping; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=Ibacc69534fd73bdc4a5ba84ee8563b2fb3e0729a; subject=netdev-offload-dpdk: Restore CT properties by CT miss ID; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=I99fdf41bef4b927d413ab978d7dcc68ae8ed601a; subject=netdev-offload-dpdk: Support parsing CT actions; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=Ie0468c3b132f3a01b0c6ef21841a3f9d9d5b7d50; subject=netdev-offload-dpdk: Support table types; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=I53a87d385fd2e0e4702a80190ac8ecf103b2f80b; subject=netdev-offload-dpdk: Infrastructure for multiple rte flows per port; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=I8551209f76a5948b04f30b647b16c67aa618f644; subject=netdev-offload-dpdk: Refactor destroy flow function; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=Ibe0bbb9567f500347cdfd24797f41039042707dc; subject=netdev-offload-dpdk: Add 'free_confs' argument to free actions; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=I25cd8ecb3275e9e366a9da5fac2d7abd800eff5f; subject=netdev-offload-dpdk: Support flows with action CT; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=I0d722e061953310d2cccffa3e6abc5143963c781; subject=netdev-offload-dpdk: Parse CT established offload event; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=I79f7c793e1b3e47eee85d073efc325c92a0195c1; subject=netdev-offload-dpdk: Offload CT established connection; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=I83b4a6da9f4dba695f349ead6493de14b7a5a1e6; subject=conntrack: Keep DP handler in conntrack; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=I967c3e134ba1a104b3dca126570f3f43259a68b7; subject=conntrack-tp: Introduce conn_protected_update_expiration; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=I1929265ca4cccd5dc895408c00ea9f84663d1ba9; subject=netdev-linux: don't print no ifindex log; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=I3a2dbac0c3c37aba19a96c652f71710c8148edd0; subject=netdev-offload-dpdk: Don't offload TTL rewrite; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=Iad97f3c9fb5d476feec9a2513274534e8b9cd30d; subject=dpif-netdev: Fix flow modification after failure; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=Id1f0e2898ec385da8164d57930ce6ef25534eeb1; subject=netdev-offload-dpdk: Don't match zeros on CT properties zero recirc_id; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=Ib36d08e1e8cea109929a95789f84ea6f89d97c3b; subject=netdev-offload-dpdk: Introduce argument for ID mapping alloc/free; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=I6bae09d2c924cc7d155fcbf6ad73e3409a4d0e1b; subject=netdev-offload-dpdk: Default miss flow on table id free; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=I523ea2aea820222be57ef514064d6e01d5da044d; subject=netdev-offload-dpdk: Support table free; feature=bp_2_14; upstream_status=in_progress; general=;
