sep=;
Change-Id=If1502a3d9c0adf91de70a66c118f4ef582f5bfcb; subject=rpm: remove incorrect python3 comment from dpdk option; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=I6ec8fb62ce82d3776a7b0d5a6c4a054288ab7057; subject=rpm: remove doubled 'with dpdk' conditional; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=Ifebf91aa9fa6a5a8db1868dbc4c9c95df14911a2; subject=rpm: add --with static option; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=Id740ecb0f9a6a5e3553df7a6ff703a3b7b5ce384; subject=ignore: debian build dir; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=I503a746e410beb3332ee7b9273d76a21c02461c8; subject=debian: add missing dh-python dependency; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=I7160f2c2361a65b54bde5159cc3c245ec7322d88; subject=debian: allow overloading DPDK install dir; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=Iab7f58374a35a26e38e369ec3ca55fb79b3922b5; subject=debian: add static build option; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=Ic885541da88e2fc546de80f5d5e6b74569e0eb92; subject=debian: add missing libmnl-dev dependency; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=I9b393a0d467ab927247dd7d5dde3fe23b10f5847; subject=acinclude: add pcap dependency; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=Ic4c0eee490d20a88b1342bab825bb72dd8e0da9f; subject=debian: fix openvswitch-test python3-twisted dependency; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=I39a48434dd8078e5bc8a71ae3fe9261377fc7b72; subject=spec: do not install .a in base package; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=I6f26218112758fa4454badb7d159c0f5660ff3f6; subject=spec: fix python-twisted dep on rhel7; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=I1ee663855372970026b64e9c7355f731ecf64d42; subject=conntrack-tp: Fix and simplify locking for expiration updates; feature=dpdk; upstream_status=ignore; general=;
Change-Id=I2a39fa51e6d20190af1c04e7e39c675490661fe1; subject=netdev-offload: Fix invalid flow mark, set it to 0; feature=dpdk; upstream_status=ignore; general=;
Change-Id=I4ea09430b0259eb21c693adf149e4fe4ed6b3f74; subject=dpif-netdev: Do not attempt to destroy offload if disabled; feature=dpdk; upstream_status=ignore; general=;
Change-Id=Id8fb0a1646b830e5ecd54c6ce03f8ef8025e5ac5; subject=debian: Update manpages path; feature=bp_2_14; upstream_status=NA; general=;
Change-Id=Id4141fa1900dd070d39538501a357d016c9f4447; subject=Update metadata; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=Icc3da81041b1ca78ee3d728878b114930aad6305; subject=build: Use meson pkg-config for DPDK link; feature=bp_2_14; upstream_status=NA; general=;
Change-Id=I8fb187cf496bf8dffb7f74d5f4816e847844f273; subject=Update metadata; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=I54b9b8c0978a2af469d3967f300807855d4d6ba1; subject=conntrack: Fix basic CT-offload refcount; feature=bp_2_14; upstream_status=NA; general=;
Change-Id=I3bf6a111c3fabe4f2a9f3346a16ef9ae9067324c; subject=Update metadata; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=Ib96b25466851f4bcddf8029a71f98f1c1e6a28b0; subject=dpctl: Remove hardware offload stats command; feature=mt-flow; upstream_status=NA; general=;
Change-Id=I86d72b6d5ea73eaa80f89d8ab16dc35e7bf66692; subject=netdev: Add flow API de-init function; feature=mt-flow; upstream_status=in_progress; general=;
Change-Id=I6a0de4eeb4522c5d6b97992a11beee0ebe00eb45; subject=netdev-offload-dpdk: Use per-netdev offload metadata; feature=mt-flow; upstream_status=in_progress; general=;
Change-Id=I2288c495e14d66cf44128301cd76c8635d3199cd; subject=netdev-offload: Add function to read hardware offload stats; feature=mt-flow; upstream_status=in_progress; general=;
Change-Id=I75c6a3dc2d334aad82778488848a6daf493ccad2; subject=netdev-offload-dpdk: Implement hw-offload statistics read; feature=mt-flow; upstream_status=in_progress; general=;
Change-Id=I9eb93a713c3c88ae8b7a981684f82e6502902a2c; subject=dpif: Add function to read hardware offload statistics; feature=mt-flow; upstream_status=in_progress; general=;
Change-Id=I840f7197dce47351599fb560efa203b668c8f9b6; subject=dpif-netdev: Implement hardware offloads stats query; feature=mt-flow; upstream_status=in_progress; general=;
Change-Id=I54a9d059a5258bc692e572641ae3e05458572268; subject=dpif-netdev: Count CT offloads in offload stats; feature=mt-flow; upstream_status=NA; general=;
