sep=;
Change-Id=I55580d0eaa8f6372ccc1625ffde31491ec6fa40e; subject=dpif: Move drop to be datapath specific; feature=dpdk; upstream_status=NA; general=;
Change-Id=I78f9bff6c45449ae9456f9b8eb6061705bf2a61d; subject=Makefile.am: Added compilation macro E2E_CACHE_ENABLED; feature=dpdk; upstream_status=NA; general=;
Change-Id=If3598fc68ea87c00d8efb172c4e51a17476d8762; subject=dpif-netdev: e2e-enable configuration flag; feature=dpdk; upstream_status=NA; general=;
Change-Id=I0959396eb43a216b029a19bc8db7bba6d97bfa5f; subject=dpif-netdev: e2e-cache tracer: collect all flow IDs; feature=dpdk; upstream_status=NA; general=;
Change-Id=I715b51021caa52bc19c44beecb43fa8b8e920d2a; subject=conntrack: e2e-cache tracer: collect all new CT IDs; feature=dpdk; upstream_status=NA; general=;
Change-Id=I8e2cf43f23f07cd131a5d863466bb232d590ade7; subject=dpif-netdev: e2e: Add message queues; feature=dpdk; upstream_status=NA; general=;
Change-Id=Ide841f091880577022bff1f9752306599a90c2c5; subject=dpif-netdev: e2e: Dispatch trace info to e2e-cache; feature=dpdk; upstream_status=NA; general=;
Change-Id=I5e6922610b4e5daafaa7baeed02b6584fd1345a0; subject=dpif-netdev: e2e: Cache management thread; feature=dpdk; upstream_status=NA; general=;
Change-Id=I45254b3f13b10b02358ddfe3cc67d6422dc8d8f2; subject=dpif-netdev: e2e: Wrap e2e cache code with macro E2E_CACHE_ENABLED; feature=dpdk; upstream_status=NA; general=;
Change-Id=I7b99fa525a2e9df351ce76e64ac850c4d210b33c; subject=dpif-netdev: e2e: Add flows database; feature=dpdk; upstream_status=NA; general=;
Change-Id=I28e9a4c32abda6503e44ea63e83726fa49460b07; subject=dpif-netdev: e2e: Add flow/CT addition/deletion mechanism; feature=dpdk; upstream_status=NA; general=;
Change-Id=I09748e70cca2a18d3f3bedb75588aa637f90c35b; subject=dpif-netdev: e2e: Merge flows from trace messages; feature=dpdk; upstream_status=NA; general=;
Change-Id=I32db2546d15c5140530d1f7b4cdb66e06282ea80; subject=dpif-devnet: e2e: Fix tracing flow UFIDs; feature=dpdk; upstream_status=NA; general=;
Change-Id=I239f6b8eedebea17bbb9d59b6615601592c55d46; subject=dpif-netdev: e2e: Fix merge flows from trace messages; feature=dpdk; upstream_status=NA; general=;
Change-Id=Ifea65d42a27fce49cef53137727a947cf4a8d0ed; subject=dpif-netdev: e2e: Pass dp_netdev in trace message; feature=dpdk; upstream_status=NA; general=;
Change-Id=If8a19e8c3f4a2488d7e1d50b84a29f35bd1890af; subject=dpif-netdev: e2e: Dispatch merged flows to HW offloading APIs; feature=dpdk; upstream_status=NA; general=;
Change-Id=I6b374ee3d5e28a41351c1b947e8f9907bfed8cc5; subject=dpif-netdev: e2e: Associate merged flow with its composing flows; feature=dpdk; upstream_status=NA; general=;
Change-Id=Iecfcbe45586b7fde6c8dab7b7710b62837e0b83b; subject=dpif-netdev: e2e: Move flow put operation to e2e thread; feature=dpdk; upstream_status=NA; general=;
Change-Id=I283118ee5e3d6bb227474551504a461d4dc3faff; subject=dpif-netdev: e2e: Refactor merged flows HW offload put/del functions; feature=dpdk; upstream_status=NA; general=;
Change-Id=Ife8c3e01041640328637712d15b2e02ee0deb988; subject=dpif-netdev: e2e: Refactor deletion of merged flows; feature=dpdk; upstream_status=NA; general=;
Change-Id=I7c2a5e4e9840c0ae877bdf989aa1cab59c80c28f; subject=dpif-netdev: e2e: Delete merged flows from HW; feature=dpdk; upstream_status=NA; general=;
Change-Id=I24f654eeaf0f02724a6ff5c63b921f2c0455b881; subject=dpif-netdev: e2e: Fix update MT flow statistics with merged flow's counter; feature=dpdk; upstream_status=NA; general=;
Change-Id=I5b54d2e521917af4b348ee0f1f67bb64fe569f62; subject=dpif-netdev: e2e: Remove mark allocation for offloaded flows; feature=dpdk; upstream_status=NA; general=;
Change-Id=I042deaf6f1d172ed6d12d65d1c40e32fbc4a7825; subject=dpif-netdev: e2e: Correct flags testing in dispatching trace messages; feature=dpdk; upstream_status=NA; general=;
Change-Id=Ie228d3b6e466b00c2ee2297c049d1833c1011d91; subject=dp-packet: e2e: Remove unused port structure members; feature=dpdk; upstream_status=NA; general=;
Change-Id=Ib848cae6aad26b5a51517e5313705208d4484b02; subject=dpif-netdev: e2e: Add list node to trace message structure; feature=dpdk; upstream_status=NA; general=;
Change-Id=I92a3a6fefcb91ae297b4d9d69b79e52f21c66308; subject=conntrack: e2e: Don't send trace message for every packet; feature=dpdk; upstream_status=NA; general=;
Change-Id=I147c71167d0dc8eafde0518fabcad5b4f61f74b7; subject=dpif-netdev: e2e: Add trace messages queue limit; feature=dpdk; upstream_status=NA; general=;
Change-Id=I778038370caf5fcc6dd6637599657f4540971278; subject=dpif-netdev: e2e: A number of cleanups; feature=dpdk; upstream_status=NA; general=;
Change-Id=I1fa0aed58d48e26647df139563fb9e1139ebadca; subject=netdev-offload-dpdk: e2e: Add sanity check; feature=dpdk; upstream_status=NA; general=;
Change-Id=I3a85a113c35c0f7d79fc2300c63703320de385b6; subject=dpif-netdev: e2e: Refactor data structures for merged and regular flows; feature=dpdk; upstream_status=NA; general=;
Change-Id=I57920bcf3affe12707b7a3fd4be18bebfc54e9df; subject=dpif-netdev: e2e: Use uint16_t for counting associated flows; feature=dpdk; upstream_status=NA; general=;
Change-Id=I80862121d6750bebfa97911a9af63a00debbb26e; subject=dpif-netdev: e2e: Cleanup structures definitions; feature=dpdk; upstream_status=NA; general=;
Change-Id=I3acb2806b7b6db2a7ef61658c9e162c6ee316ef4; subject=dpif-netdev: e2e: Refactor dump functions; feature=dpdk; upstream_status=NA; general=;
Change-Id=I3558e83c9d97efcd45900b802541bd9064c43212; subject=dpif-netdev: e2e: Fix DB insertion of merged flows; feature=dpdk; upstream_status=NA; general=;
Change-Id=Idc6156ed9a27201b0b8f62f0a49b7d757f0a7034; subject=dpif-netdev: e2e: Fix race between dump e2e stats and e2e DB management; feature=dpdk; upstream_status=NA; general=;
Change-Id=Id7a0943770eeac3a126c600dcfc6c7833131f130; subject=dpctl: e2e: Fix memory leaks in dump e2e stats and flows; feature=dpdk; upstream_status=NA; general=;
Change-Id=Ie99733db1ca600b636b3e4e64bce6ff553b62c19; subject=dpif-netdev: e2e: Merged flows stats counters shouldn't be atomic; feature=dpdk; upstream_status=NA; general=;
Change-Id=I1f2ee01c89e8da826d25d850770c1d1207b18f2d; subject=dpif-netdev: e2e: Restructure location of match in e2e_cache_merged_flow; feature=dpdk; upstream_status=NA; general=;
Change-Id=I01c04e7b12b8830d25bdfa78953b556eb642ef49; subject=dpif-netdev: e2e: Remove dp_netdev_flow from e2e_cache_merged_flow; feature=dpdk; upstream_status=NA; general=;
Change-Id=I2bb1e3c8b65c6d0bf581017f9fbb87f97a2fedf2; subject=dpif-netdev: e2e: Use hmap for regular flows DB; feature=dpdk; upstream_status=NA; general=;
Change-Id=I403ad819a03fc32ef7a89baf8bee002be2ed3aea; subject=dpif-netdev: e2e: Add DB size in e2e stats dump; feature=dpdk; upstream_status=NA; general=;
Change-Id=I6f0c8be23cd71e8741924aec8f4d859a49165ea3; subject=dpif-netdev: e2e: Add stats counters for number of CT offloads; feature=dpdk; upstream_status=NA; general=;
Change-Id=I54a6b6d55b3ed616c6350b77cdf2e25deb8b3bcd; subject=conntrack: e2e: Extract CT match members of ct_flow_offload_item into struct ct_match; feature=dpdk; upstream_status=NA; general=;
Change-Id=Ia6a2f82d125e226a6ba0871bb171760e2b457265; subject=dpif-netdev: e2e: Do not validate CT flows before merge; feature=dpdk; upstream_status=NA; general=;
Change-Id=Ic130682b0c48d1012a246a0595771e6832fe3dcf; subject=dpif-netdev: e2e: Use ct_match instead of match for CT flows in DB; feature=dpdk; upstream_status=NA; general=;
Change-Id=I71bacc2007bcfe037ca649477a09ccc3c2738851; subject=dpif-netdev: e2e: Refactor e2e_cache_get_merged_flows_stats; feature=dpdk; upstream_status=NA; general=;
Change-Id=Iebf23bf7d19be1f3068ded71a53d813d316db0a9; subject=dpif-netdev: e2e: Fix possible crash due to uninitialized members of e2e_cache_merged_flow; feature=dpdk; upstream_status=NA; general=;
Change-Id=I1f83a8373531e981cd94b7f2abb01cfefad417d8; subject=dpif-netdev: e2e: Fix counters disassociation invocation place; feature=dpdk; upstream_status=NA; general=;
Change-Id=I0f0a445b7d02e77c1d1ec7661b1e4050ebe15509; subject=dpif-netdev: e2e: Fix counters disassociation implementation; feature=dpdk; upstream_status=NA; general=;
Change-Id=I63b9aa43e92659796fe903bfe8c1552564c0ca80; subject=seq-pool: Provide lockless implementation for single-threaded cases; feature=dpdk; upstream_status=NA; general=;
Change-Id=I376cf16f60ebe66ba8491409554f036cf8e03f8a; subject=netdev-offload-dpdk: Allocate CT IDs from seq-pool; feature=dpdk; upstream_status=NA; general=;
Change-Id=I630a334d5d4b88f711e2b34bcf9f47273f39e50c; subject=netdev-offload: e2e: Rename netdev_counter_query into netdev_ct_counter_query; feature=dpdk; upstream_status=NA; general=;
Change-Id=I08abf4ac5645f136b78f1b88780e90f5fdaa8a7e; subject=netdev-offload: e2e: Introduce struct flows_counter_key; feature=dpdk; upstream_status=NA; general=;
Change-Id=I32d9b25d7cc1c5a86f2d0d130d16d70916de023b; subject=netdev-offload: e2e: Change signature of ct_counter_query offload API; feature=dpdk; upstream_status=NA; general=;
Change-Id=I9db1e178b09ac6acba882bf90eee71fb02dce1fe; subject=dpif-netdev: e2e: Introduce counter utilities functions; feature=dpdk; upstream_status=NA; general=;
Change-Id=Ia35b5d193784d19cf6f47801727ef49468e93491; subject=dpif-netdev: e2e: Calculate ct_counters based on pointers values; feature=dpdk; upstream_status=NA; general=;
Change-Id=I556f6acdd909481eefc76a68e47e1b2fb2da4c68; subject=dpif-netdev: e2e: Use full UFIDs trace as key for counters management; feature=dpdk; upstream_status=NA; general=;
Change-Id=I94fdcf74bc6df62cd99cadab11a1d8fd6f159286; subject=netdev-offload-dpdk: e2e: Use flows_counter_key as a key for counter IDs; feature=dpdk; upstream_status=NA; general=;
