sep=;
Change-Id=I33664e48d74acd06745566ef848c7843b7ee3348; subject=conntrack: Move struct conn_key from private h file; feature=ovs_dpdk_ct; upstream_status=in_progress; general=;
Change-Id=Ia0ac82c29be3332704d13d2a6fb86c02241cb93e; subject=conntrack: Introduce calls to CT add and CT del offloading; feature=ovs_dpdk_ct; upstream_status=in_progress; general=;
Change-Id=Idb461398194ff0b108dce362966bb035e1c65a73; subject=conntrack: Introduce fill item functions; feature=ovs_dpdk_ct; upstream_status=in_progress; general=;
Change-Id=I8e1540328beb5d3a857d05492bc2a1f7979ef794; subject=conntrack: Prepare offloading items; feature=ovs_dpdk_ct; upstream_status=in_progress; general=;
Change-Id=I7f41de81e67839911318430b1af65ad86de58ed6; subject=conntrack: Introduce ct hw-offload callbacks; feature=ovs_dpdk_ct; upstream_status=in_progress; general=;
Change-Id=I942f2677d6b508f34fed9400b8005b61640aad67; subject=conntrack: Introduce registration function of ct-offload callbacks; feature=ovs_dpdk_ct; upstream_status=in_progress; general=;
Change-Id=I4f8ad253e321a48f71d2fc7a8cb3f492736de60f; subject=dpif-netdev: Remove pmd argument from dp_flow_offload_item; feature=ovs_dpdk_ct; upstream_status=in_progress; general=;
Change-Id=If1bb004a20592f57eb27060223b3ba433b14a36d; subject=dpif-netdev: Refactor as a pre-step towards adding ct flow; feature=ovs_dpdk_ct; upstream_status=in_progress; general=;
Change-Id=I1f810c9abb6315aaed5edaff05ac8c2fce5b451a; subject=dpif-netdev: Introduce CT offload item; feature=ovs_dpdk_ct; upstream_status=in_progress; general=;
Change-Id=I4b8f368baa264191674291c86ca69de5819ecc6f; subject=dpif-netdev: Do CT flow offload; feature=ovs_dpdk_ct; upstream_status=in_progress; general=;
Change-Id=If4c1de06ec7239e4be7d267d4f9db3a4082602b5; subject=conntrack-tcp: Calculate expiration in a function; feature=ovs_dpdk_ct; upstream_status=in_progress; general=;
Change-Id=Ia94cd64d1b3e6f229b9bcb29dc59da71ccf97cf7; subject=conntrack: Add get_tm() API; feature=ovs_dpdk_ct; upstream_status=in_progress; general=;
Change-Id=I2918ba657bc10a5e1469bd634da0bd45a36ac7c7; subject=conntrack: Update expiration for HW active connection; feature=ovs_dpdk_ct; upstream_status=in_progress; general=;
Change-Id=Icf7e99cb26c39ce1bf07830af90a6ba170e2c71d; subject=dpif-netdev: CT offload active call; feature=ovs_dpdk_ct; upstream_status=in_progress; general=;
Change-Id=I6abc2b4c89099065f2c27dffb72726ca6cf8edc7; subject=conntrack: Prepare offload status as a pre-step towards force tcp-liberal; feature=ovs_dpdk_ct; upstream_status=in_progress; general=;
Change-Id=I8f79de2dbc41aa143316b23a015a31a67b40f6d8; subject=conntrack-tcp: Disable TCP sequence checking for offloaded flows; feature=ovs_dpdk_ct; upstream_status=in_progress; general=;
Change-Id=I1454d87ec24dffcac3f7769dc83d90b95186fb2d; subject=ct-dpif: Show offloaded status in dpctl/dump-conntrack; feature=ovs_dpdk_ct; upstream_status=in_progress; general=;
Change-Id=I26be5af4da1ca0c7440256f8a0eed5467f078053; subject=dpif-netdev: Register CT offloading callbacks; feature=ovs_dpdk_ct; upstream_status=in_progress; general=;
