name=ofed_scripts; type=scripts; upstream_status=ignore;
name=bug_fixes; type=fixes; upstream_status=ignore;
name=bp_2_15; type=features; upstream_status=in_progress;
name=ovs_dpdk_vxlan; type=features; upstream_status=in_progress;
name=ovs_dpdk_ct; type=features; upstream_status=in_progress;
name=ovs_dpdk_frags; type=features; upstream_status=in_progress;
name=ovs_dpdk_vdpa; type=features; upstream_status=in_progress;
name=e2e_cache; type=features; upstream_status=NA;
name=ovs_dpdk_mt_flow; type=OVS-DPDK; upstream_status=in_progress;
name=ovs_dpdk_geneve; type=features; upstream_status=in_progress;
name=ovs_dpdk_mirroring; type=features; upstream_status=in_progress;
name=sflow; type=features; upstream_status=in_progress;
name=ovs_dpdk_ct2ct; type=features; upstream_status=in_progress;
name=metering; type=features; upstream_status=in_progress;
name=ovs_dpdk_tunnel; type=features; upstream_status=in_progress;
name=ipsec_full; type=features; upstream_status=ignore;
name=ovs_dpdk_meter; type=features; upstream_status=in_progress;
